NumVertices,NumEdges,Time,Algo,Median,LowestValue,HighestValue,LowerQ,UpperQ,StandardDev
268495,1156647,14.4882,Jain,5.0,1,1318,2.0,10.0,16.282475314177852
227320,814134,6.47712,Jain,4.0,1,1372,2.0,8.0,10.633715031194045
299067,977676,7.25242,Jain,4.0,1,336,2.0,7.0,9.815236642715357
434102,16036720,382.154,Polak,39.0,1,1188,15.0,92.0,101.27835054005104
540486,15245729,295.429,Polak,34.0,1,3299,13.0,74.0,66.236146112445326
65535,2456071,121.758,Polak,8.0,0,17997,1.0,31.0,312.45999947386696
131068,5113985,319.4,Polak,7.0,0,29935,1.0,37.0,378.07272554713268
262144,10582686,839.326,Polak,6.0,0,49162,1.0,25.0,453.70518302180687
524287,21780787,2227.26,Polak,5.0,0,80674,1.0,28.0,540.89289184097356
1048576,44619402,6182.98,Polak,4.0,0,131503,1.0,28.0,640.96572832072752
2097152,91040932,22232.1,Polak,4.0,0,213904,0.0,21.0,755.62879809067454
32768,160240,2.24902,Jain,10.0,0,24,8.0,12.0,3.1550893632472099
65536,342127,2.95126,Jain,10.0,0,27,8.0,13.0,3.2478090336519236
131072,728753,4.31974,Jain,11.0,0,28,9.0,13.0,3.3442200804535505
262144,1547283,7.35805,Jain,12.0,0,31,9.0,14.0,3.4485489368497926
524288,3269766,13.6054,Jain,12.0,0,30,10.0,15.0,3.5434506780709185
1048576,6891620,28.7178,Jain,13.0,0,36,11.0,15.0,3.6282560457134294
2097152,14487995,59.9472,Jain,14.0,0,37,11.0,16.0,3.7326398803644776
4194304,30359198,127.057,Jain,14.0,0,36,12.0,17.0,3.8123324216016479
8388608,63501393,187.863,Jain,15.0,0,40,12.0,18.0,3.8955145020947728
16777216,132557200,580.559,Jain,16.0,0,40,13.0,18.0,3.9800650357918763
